---------------------------
|         n |  n log_2(n) |
|     14615 |  202200.9 |
|     14616 |  202216.2 |
|     14617 |  202231.5 |
|     14618 |  202246.7 |
|     14619 |  202262.0 |
|     14620 |  202277.3 |
|     14621 |  202292.6 |
|     14622 |  202307.8 |
|     14623 |  202323.1 |
|     14624 |  202338.4 |
|     14625 |  202353.7 |
|     14626 |  202369.0 |
|     14627 |  202384.2 |
|     14628 |  202399.5 |
|     14629 |  202414.8 |
|     14630 |  202430.1 |
|     14631 |  202445.4 |
|     14632 |  202460.6 |
|     14633 |  202475.9 |
|     14634 |  202491.2 |
|     14635 |  202506.5 |
|     14636 |  202521.8 |
|     14637 |  202537.0 |
|     14638 |  202552.3 |
|     14639 |  202567.6 |
|     14640 |  202582.9 |
|     14641 |  202598.2 |
|     14642 |  202613.4 |
|     14643 |  202628.7 |
|     14644 |  202644.0 |
|     14645 |  202659.3 |
|     14646 |  202674.6 |
|     14647 |  202689.8 |
|     14648 |  202705.1 |
|     14649 |  202720.4 |
|     14650 |  202735.7 |
|     14651 |  202751.0 |
|     14652 |  202766.2 |
|     14653 |  202781.5 |
|     14654 |  202796.8 |
|     14655 |  202812.1 |
|     14656 |  202827.4 |
|     14657 |  202842.7 |
|     14658 |  202857.9 |
|     14659 |  202873.2 |
|     14660 |  202888.5 |
|     14661 |  202903.8 |
|     14662 |  202919.1 |
|     14663 |  202934.3 |
|     14664 |  202949.6 |
|     14665 |  202964.9 |
|     14666 |  202980.2 |
|     14667 |  202995.5 |
|     14668 |  203010.8 |
|     14669 |  203026.0 |
|     14670 |  203041.3 |
|     14671 |  203056.6 |
|     14672 |  203071.9 |
|     14673 |  203087.2 |
|     14674 |  203102.5 |
|     14675 |  203117.7 |
|     14676 |  203133.0 |
|     14677 |  203148.3 |
|     14678 |  203163.6 |
|     14679 |  203178.9 |
|     14680 |  203194.2 |
|     14681 |  203209.4 |
|     14682 |  203224.7 |
|     14683 |  203240.0 |
|     14684 |  203255.3 |
|     14685 |  203270.6 |
|     14686 |  203285.9 |
|     14687 |  203301.2 |
|     14688 |  203316.4 |
|     14689 |  203331.7 |
|     14690 |  203347.0 |
|     14691 |  203362.3 |
|     14692 |  203377.6 |
|     14693 |  203392.9 |
|     14694 |  203408.2 |
|     14695 |  203423.4 |
|     14696 |  203438.7 |
|     14697 |  203454.0 |
|     14698 |  203469.3 |
|     14699 |  203484.6 |
|     14700 |  203499.9 |
|     14701 |  203515.2 |
|     14702 |  203530.4 |
|     14703 |  203545.7 |
|     14704 |  203561.0 |
|     14705 |  203576.3 |
|     14706 |  203591.6 |
|     14707 |  203606.9 |
|     14708 |  203622.2 |
|     14709 |  203637.4 |
|     14710 |  203652.7 |
|     14711 |  203668.0 |
|     14712 |  203683.3 |
|     14713 |  203698.6 |
|     14714 |  203713.9 |
|     14715 |  203729.2 |
|     14716 |  203744.5 |
|     14717 |  203759.7 |
|     14718 |  203775.0 |
|     14719 |  203790.3 |
|     14720 |  203805.6 |
|     14721 |  203820.9 |
|     14722 |  203836.2 |
|     14723 |  203851.5 |
|     14724 |  203866.8 |
|     14725 |  203882.1 |
|     14726 |  203897.3 |
|     14727 |  203912.6 |
|     14728 |  203927.9 |
|     14729 |  203943.2 |
|     14730 |  203958.5 |
|     14731 |  203973.8 |
|     14732 |  203989.1 |
|     14733 |  204004.4 |
|     14734 |  204019.7 |
|     14735 |  204034.9 |
|     14736 |  204050.2 |
|     14737 |  204065.5 |
|     14738 |  204080.8 |
|     14739 |  204096.1 |
|     14740 |  204111.4 |
|     14741 |  204126.7 |
|     14742 |  204142.0 |
|     14743 |  204157.3 |
|     14744 |  204172.6 |
|     14745 |  204187.8 |
|     14746 |  204203.1 |
|     14747 |  204218.4 |
|     14748 |  204233.7 |
|     14749 |  204249.0 |
|     14750 |  204264.3 |
|     14751 |  204279.6 |
|     14752 |  204294.9 |
|     14753 |  204310.2 |
|     14754 |  204325.5 |
|     14755 |  204340.8 |
|     14756 |  204356.1 |
|     14757 |  204371.3 |
|     14758 |  204386.6 |
|     14759 |  204401.9 |
|     14760 |  204417.2 |
|     14761 |  204432.5 |
|     14762 |  204447.8 |
|     14763 |  204463.1 |
|     14764 |  204478.4 |
|     14765 |  204493.7 |
|     14766 |  204509.0 |
|     14767 |  204524.3 |
|     14768 |  204539.6 |
|     14769 |  204554.9 |
|     14770 |  204570.1 |
|     14771 |  204585.4 |
|     14772 |  204600.7 |
|     14773 |  204616.0 |
|     14774 |  204631.3 |
|     14775 |  204646.6 |
|     14776 |  204661.9 |
|     14777 |  204677.2 |
|     14778 |  204692.5 |
|     14779 |  204707.8 |
|     14780 |  204723.1 |
|     14781 |  204738.4 |
|     14782 |  204753.7 |
|     14783 |  204769.0 |
|     14784 |  204784.3 |
|     14785 |  204799.6 |
|     14786 |  204814.8 |
|     14787 |  204830.1 |
|     14788 |  204845.4 |
|     14789 |  204860.7 |
|     14790 |  204876.0 |
|     14791 |  204891.3 |
|     14792 |  204906.6 |
|     14793 |  204921.9 |
|     14794 |  204937.2 |
|     14795 |  204952.5 |
|     14796 |  204967.8 |
|     14797 |  204983.1 |
|     14798 |  204998.4 |
|     14799 |  205013.7 |
|     14800 |  205029.0 |
|     14801 |  205044.3 |
|     14802 |  205059.6 |
|     14803 |  205074.9 |
|     14804 |  205090.2 |
|     14805 |  205105.5 |
|     14806 |  205120.8 |
|     14807 |  205136.1 |
|     14808 |  205151.4 |
|     14809 |  205166.6 |
|     14810 |  205181.9 |
|     14811 |  205197.2 |
|     14812 |  205212.5 |
|     14813 |  205227.8 |
|     14814 |  205243.1 |
|     14815 |  205258.4 |
|     14816 |  205273.7 |
|     14817 |  205289.0 |
|     14818 |  205304.3 |
|     14819 |  205319.6 |
|     14820 |  205334.9 |
|     14821 |  205350.2 |
|     14822 |  205365.5 |
|     14823 |  205380.8 |
|     14824 |  205396.1 |
|     14825 |  205411.4 |
|     14826 |  205426.7 |
|     14827 |  205442.0 |
|     14828 |  205457.3 |
|     14829 |  205472.6 |
|     14830 |  205487.9 |
|     14831 |  205503.2 |
|     14832 |  205518.5 |
|     14833 |  205533.8 |
|     14834 |  205549.1 |
|     14835 |  205564.4 |
|     14836 |  205579.7 |
|     14837 |  205595.0 |
|     14838 |  205610.3 |
|     14839 |  205625.6 |
|     14840 |  205640.9 |
|     14841 |  205656.2 |
|     14842 |  205671.5 |
|     14843 |  205686.8 |
|     14844 |  205702.1 |
|     14845 |  205717.4 |
|     14846 |  205732.7 |
|     14847 |  205748.0 |
|     14848 |  205763.3 |
|     14849 |  205778.6 |
|     14850 |  205793.9 |
|     14851 |  205809.2 |
|     14852 |  205824.5 |
|     14853 |  205839.8 |
|     14854 |  205855.1 |
|     14855 |  205870.4 |
|     14856 |  205885.7 |
|     14857 |  205901.0 |
|     14858 |  205916.3 |
|     14859 |  205931.6 |
|     14860 |  205946.9 |
|     14861 |  205962.2 |
|     14862 |  205977.5 |
|     14863 |  205992.8 |
|     14864 |  206008.1 |
|     14865 |  206023.4 |
|     14866 |  206038.7 |
|     14867 |  206054.0 |
|     14868 |  206069.3 |
|     14869 |  206084.6 |
|     14870 |  206099.9 |
|     14871 |  206115.2 |
|     14872 |  206130.5 |
|     14873 |  206145.8 |
|     14874 |  206161.2 |
|     14875 |  206176.5 |
|     14876 |  206191.8 |
|     14877 |  206207.1 |
|     14878 |  206222.4 |
|     14879 |  206237.7 |
|     14880 |  206253.0 |
|     14881 |  206268.3 |
|     14882 |  206283.6 |
|     14883 |  206298.9 |
|     14884 |  206314.2 |
|     14885 |  206329.5 |
|     14886 |  206344.8 |
|     14887 |  206360.1 |
|     14888 |  206375.4 |
|     14889 |  206390.7 |
|     14890 |  206406.0 |
|     14891 |  206421.3 |
|     14892 |  206436.6 |
|     14893 |  206451.9 |
|     14894 |  206467.2 |
|     14895 |  206482.5 |
|     14896 |  206497.8 |
|     14897 |  206513.2 |
|     14898 |  206528.5 |
|     14899 |  206543.8 |
|     14900 |  206559.1 |
|     14901 |  206574.4 |
|     14902 |  206589.7 |
|     14903 |  206605.0 |
|     14904 |  206620.3 |
|     14905 |  206635.6 |
|     14906 |  206650.9 |
|     14907 |  206666.2 |
|     14908 |  206681.5 |
|     14909 |  206696.8 |
|     14910 |  206712.1 |
|     14911 |  206727.4 |
|     14912 |  206742.7 |
|     14913 |  206758.1 |
|     14914 |  206773.4 |
|     14915 |  206788.7 |
|     14916 |  206804.0 |
|     14917 |  206819.3 |
|     14918 |  206834.6 |
|     14919 |  206849.9 |
|     14920 |  206865.2 |
|     14921 |  206880.5 |
|     14922 |  206895.8 |
|     14923 |  206911.1 |
|     14924 |  206926.4 |
|     14925 |  206941.7 |
|     14926 |  206957.0 |
|     14927 |  206972.4 |
|     14928 |  206987.7 |
|     14929 |  207003.0 |
|     14930 |  207018.3 |
|     14931 |  207033.6 |
|     14932 |  207048.9 |
|     14933 |  207064.2 |
|     14934 |  207079.5 |
|     14935 |  207094.8 |
|     14936 |  207110.1 |
|     14937 |  207125.4 |
|     14938 |  207140.8 |
|     14939 |  207156.1 |
|     14940 |  207171.4 |
|     14941 |  207186.7 |
|     14942 |  207202.0 |
|     14943 |  207217.3 |
|     14944 |  207232.6 |
|     14945 |  207247.9 |
|     14946 |  207263.2 |
|     14947 |  207278.5 |
|     14948 |  207293.9 |
|     14949 |  207309.2 |
|     14950 |  207324.5 |
|     14951 |  207339.8 |
|     14952 |  207355.1 |
|     14953 |  207370.4 |
|     14954 |  207385.7 |
|     14955 |  207401.0 |
|     14956 |  207416.3 |
|     14957 |  207431.7 |
|     14958 |  207447.0 |
|     14959 |  207462.3 |
|     14960 |  207477.6 |
|     14961 |  207492.9 |
|     14962 |  207508.2 |
|     14963 |  207523.5 |
|     14964 |  207538.8 |
|     14965 |  207554.1 |
|     14966 |  207569.5 |
|     14967 |  207584.8 |
|     14968 |  207600.1 |
|     14969 |  207615.4 |
|     14970 |  207630.7 |
|     14971 |  207646.0 |
|     14972 |  207661.3 |
|     14973 |  207676.6 |
|     14974 |  207692.0 |
|     14975 |  207707.3 |
|     14976 |  207722.6 |
|     14977 |  207737.9 |
|     14978 |  207753.2 |
|     14979 |  207768.5 |
|     14980 |  207783.8 |
|     14981 |  207799.1 |
|     14982 |  207814.5 |
|     14983 |  207829.8 |
|     14984 |  207845.1 |
|     14985 |  207860.4 |
|     14986 |  207875.7 |
|     14987 |  207891.0 |
|     14988 |  207906.3 |
|     14989 |  207921.7 |
|     14990 |  207937.0 |
|     14991 |  207952.3 |
|     14992 |  207967.6 |
|     14993 |  207982.9 |
|     14994 |  207998.2 |
|     14995 |  208013.5 |
|     14996 |  208028.9 |
|     14997 |  208044.2 |
|     14998 |  208059.5 |
|     14999 |  208074.8 |
|     15000 |  208090.1 |
|     15001 |  208105.4 |
|     15002 |  208120.8 |
|     15003 |  208136.1 |
|     15004 |  208151.4 |
|     15005 |  208166.7 |
|     15006 |  208182.0 |
|     15007 |  208197.3 |
|     15008 |  208212.6 |
|     15009 |  208228.0 |
|     15010 |  208243.3 |
|     15011 |  208258.6 |
|     15012 |  208273.9 |
|     15013 |  208289.2 |
|     15014 |  208304.5 |
|     15015 |  208319.9 |
|     15016 |  208335.2 |
|     15017 |  208350.5 |
|     15018 |  208365.8 |
|     15019 |  208381.1 |
|     15020 |  208396.4 |
|     15021 |  208411.8 |
|     15022 |  208427.1 |
|     15023 |  208442.4 |
|     15024 |  208457.7 |
|     15025 |  208473.0 |
|     15026 |  208488.4 |
|     15027 |  208503.7 |
|     15028 |  208519.0 |
|     15029 |  208534.3 |
|     15030 |  208549.6 |
|     15031 |  208564.9 |
|     15032 |  208580.3 |
|     15033 |  208595.6 |
|     15034 |  208610.9 |
|     15035 |  208626.2 |
|     15036 |  208641.5 |
|     15037 |  208656.9 |
|     15038 |  208672.2 |
|     15039 |  208687.5 |
|     15040 |  208702.8 |
|     15041 |  208718.1 |
|     15042 |  208733.5 |
|     15043 |  208748.8 |
|     15044 |  208764.1 |
|     15045 |  208779.4 |
|     15046 |  208794.7 |
|     15047 |  208810.1 |
|     15048 |  208825.4 |
|     15049 |  208840.7 |
|     15050 |  208856.0 |
|     15051 |  208871.3 |
|     15052 |  208886.7 |
|     15053 |  208902.0 |
|     15054 |  208917.3 |
|     15055 |  208932.6 |
|     15056 |  208947.9 |
|     15057 |  208963.3 |
|     15058 |  208978.6 |
|     15059 |  208993.9 |
|     15060 |  209009.2 |
|     15061 |  209024.5 |
|     15062 |  209039.9 |
|     15063 |  209055.2 |
|     15064 |  209070.5 |
|     15065 |  209085.8 |
|     15066 |  209101.1 |
|     15067 |  209116.5 |
|     15068 |  209131.8 |
|     15069 |  209147.1 |
|     15070 |  209162.4 |
|     15071 |  209177.8 |
|     15072 |  209193.1 |
|     15073 |  209208.4 |
|     15074 |  209223.7 |
|     15075 |  209239.0 |
|     15076 |  209254.4 |
|     15077 |  209269.7 |
|     15078 |  209285.0 |
|     15079 |  209300.3 |
|     15080 |  209315.7 |
|     15081 |  209331.0 |
|     15082 |  209346.3 |
|     15083 |  209361.6 |
|     15084 |  209377.0 |
|     15085 |  209392.3 |
|     15086 |  209407.6 |
|     15087 |  209422.9 |
|     15088 |  209438.2 |
|     15089 |  209453.6 |
|     15090 |  209468.9 |
|     15091 |  209484.2 |
|     15092 |  209499.5 |
|     15093 |  209514.9 |
|     15094 |  209530.2 |
|     15095 |  209545.5 |
|     15096 |  209560.8 |
|     15097 |  209576.2 |
|     15098 |  209591.5 |
|     15099 |  209606.8 |
|     15100 |  209622.1 |
|     15101 |  209637.5 |
|     15102 |  209652.8 |
|     15103 |  209668.1 |
|     15104 |  209683.4 |
|     15105 |  209698.8 |
|     15106 |  209714.1 |
|     15107 |  209729.4 |
|     15108 |  209744.7 |
|     15109 |  209760.1 |
|     15110 |  209775.4 |
|     15111 |  209790.7 |
|     15112 |  209806.0 |
|     15113 |  209821.4 |
|     15114 |  209836.7 |
|     15115 |  209852.0 |
|     15116 |  209867.4 |
|     15117 |  209882.7 |
|     15118 |  209898.0 |
|     15119 |  209913.3 |
|     15120 |  209928.7 |
|     15121 |  209944.0 |
|     15122 |  209959.3 |
|     15123 |  209974.6 |
|     15124 |  209990.0 |
|     15125 |  210005.3 |
|     15126 |  210020.6 |
|     15127 |  210035.9 |
|     15128 |  210051.3 |
|     15129 |  210066.6 |
|     15130 |  210081.9 |
|     15131 |  210097.3 |
|     15132 |  210112.6 |
|     15133 |  210127.9 |
|     15134 |  210143.2 |
|     15135 |  210158.6 |
|     15136 |  210173.9 |
|     15137 |  210189.2 |
|     15138 |  210204.6 |
|     15139 |  210219.9 |
|     15140 |  210235.2 |
|     15141 |  210250.5 |
|     15142 |  210265.9 |
|     15143 |  210281.2 |
|     15144 |  210296.5 |
|     15145 |  210311.9 |
|     15146 |  210327.2 |
|     15147 |  210342.5 |
|     15148 |  210357.8 |
|     15149 |  210373.2 |
|     15150 |  210388.5 |
|     15151 |  210403.8 |
|     15152 |  210419.2 |
|     15153 |  210434.5 |
|     15154 |  210449.8 |
|     15155 |  210465.2 |
|     15156 |  210480.5 |
|     15157 |  210495.8 |
|     15158 |  210511.1 |
|     15159 |  210526.5 |
|     15160 |  210541.8 |
|     15161 |  210557.1 |
|     15162 |  210572.5 |
|     15163 |  210587.8 |
|     15164 |  210603.1 |
|     15165 |  210618.5 |
|     15166 |  210633.8 |
|     15167 |  210649.1 |
|     15168 |  210664.5 |
|     15169 |  210679.8 |
|     15170 |  210695.1 |
|     15171 |  210710.5 |
|     15172 |  210725.8 |
|     15173 |  210741.1 |
|     15174 |  210756.4 |
|     15175 |  210771.8 |
|     15176 |  210787.1 |
|     15177 |  210802.4 |
|     15178 |  210817.8 |
|     15179 |  210833.1 |
|     15180 |  210848.4 |
|     15181 |  210863.8 |
|     15182 |  210879.1 |
|     15183 |  210894.4 |
|     15184 |  210909.8 |
|     15185 |  210925.1 |
|     15186 |  210940.4 |
|     15187 |  210955.8 |
|     15188 |  210971.1 |
|     15189 |  210986.4 |
|     15190 |  211001.8 |
|     15191 |  211017.1 |
|     15192 |  211032.4 |
|     15193 |  211047.8 |
|     15194 |  211063.1 |
|     15195 |  211078.4 |
|     15196 |  211093.8 |
|     15197 |  211109.1 |
|     15198 |  211124.4 |
|     15199 |  211139.8 |
|     15200 |  211155.1 |
|     15201 |  211170.4 |
|     15202 |  211185.8 |
|     15203 |  211201.1 |
|     15204 |  211216.5 |
|     15205 |  211231.8 |
|     15206 |  211247.1 |
|     15207 |  211262.5 |
|     15208 |  211277.8 |
|     15209 |  211293.1 |
|     15210 |  211308.5 |
|     15211 |  211323.8 |
|     15212 |  211339.1 |
|     15213 |  211354.5 |
|     15214 |  211369.8 |
|     15215 |  211385.1 |
|     15216 |  211400.5 |
|     15217 |  211415.8 |
|     15218 |  211431.1 |
|     15219 |  211446.5 |
|     15220 |  211461.8 |
|     15221 |  211477.2 |
|     15222 |  211492.5 |
|     15223 |  211507.8 |
|     15224 |  211523.2 |
|     15225 |  211538.5 |
|     15226 |  211553.8 |
|     15227 |  211569.2 |
|     15228 |  211584.5 |
|     15229 |  211599.9 |
|     15230 |  211615.2 |
|     15231 |  211630.5 |
|     15232 |  211645.9 |
|     15233 |  211661.2 |
|     15234 |  211676.5 |
|     15235 |  211691.9 |
|     15236 |  211707.2 |
|     15237 |  211722.6 |
|     15238 |  211737.9 |
|     15239 |  211753.2 |
|     15240 |  211768.6 |
|     15241 |  211783.9 |
|     15242 |  211799.2 |
|     15243 |  211814.6 |
|     15244 |  211829.9 |
|     15245 |  211845.3 |
|     15246 |  211860.6 |
|     15247 |  211875.9 |
|     15248 |  211891.3 |
|     15249 |  211906.6 |
|     15250 |  211922.0 |
|     15251 |  211937.3 |
|     15252 |  211952.6 |
|     15253 |  211968.0 |
|     15254 |  211983.3 |
|     15255 |  211998.7 |
|     15256 |  212014.0 |
|     15257 |  212029.3 |
|     15258 |  212044.7 |
|     15259 |  212060.0 |
|     15260 |  212075.4 |
|     15261 |  212090.7 |
|     15262 |  212106.0 |
|     15263 |  212121.4 |
|     15264 |  212136.7 |
|     15265 |  212152.1 |
|     15266 |  212167.4 |
|     15267 |  212182.7 |
|     15268 |  212198.1 |
|     15269 |  212213.4 |
|     15270 |  212228.8 |
|     15271 |  212244.1 |
|     15272 |  212259.4 |
|     15273 |  212274.8 |
|     15274 |  212290.1 |
|     15275 |  212305.5 |
|     15276 |  212320.8 |
|     15277 |  212336.1 |
|     15278 |  212351.5 |
|     15279 |  212366.8 |
|     15280 |  212382.2 |
|     15281 |  212397.5 |
|     15282 |  212412.9 |
|     15283 |  212428.2 |
|     15284 |  212443.5 |
|     15285 |  212458.9 |
|     15286 |  212474.2 |
|     15287 |  212489.6 |
|     15288 |  212504.9 |
|     15289 |  212520.3 |
|     15290 |  212535.6 |
|     15291 |  212550.9 |
|     15292 |  212566.3 |
|     15293 |  212581.6 |
|     15294 |  212597.0 |
|     15295 |  212612.3 |
|     15296 |  212627.7 |
|     15297 |  212643.0 |
|     15298 |  212658.3 |
|     15299 |  212673.7 |
|     15300 |  212689.0 |
|     15301 |  212704.4 |
|     15302 |  212719.7 |
|     15303 |  212735.1 |
|     15304 |  212750.4 |
|     15305 |  212765.8 |
|     15306 |  212781.1 |
|     15307 |  212796.4 |
|     15308 |  212811.8 |
|     15309 |  212827.1 |
|     15310 |  212842.5 |
|     15311 |  212857.8 |
|     15312 |  212873.2 |
|     15313 |  212888.5 |
|     15314 |  212903.9 |
|     15315 |  212919.2 |
|     15316 |  212934.5 |
|     15317 |  212949.9 |
|     15318 |  212965.2 |
|     15319 |  212980.6 |
|     15320 |  212995.9 |
|     15321 |  213011.3 |
|     15322 |  213026.6 |
|     15323 |  213042.0 |
|     15324 |  213057.3 |
|     15325 |  213072.7 |
|     15326 |  213088.0 |
|     15327 |  213103.4 |
|     15328 |  213118.7 |
|     15329 |  213134.0 |
|     15330 |  213149.4 |
|     15331 |  213164.7 |
|     15332 |  213180.1 |
|     15333 |  213195.4 |
|     15334 |  213210.8 |
|     15335 |  213226.1 |
|     15336 |  213241.5 |
|     15337 |  213256.8 |
|     15338 |  213272.2 |
|     15339 |  213287.5 |
|     15340 |  213302.9 |
|     15341 |  213318.2 |
|     15342 |  213333.6 |
|     15343 |  213348.9 |
|     15344 |  213364.3 |
|     15345 |  213379.6 |
|     15346 |  213395.0 |
|     15347 |  213410.3 |
|     15348 |  213425.7 |
|     15349 |  213441.0 |
|     15350 |  213456.3 |
|     15351 |  213471.7 |
|     15352 |  213487.0 |
|     15353 |  213502.4 |
|     15354 |  213517.7 |
|     15355 |  213533.1 |
|     15356 |  213548.4 |
|     15357 |  213563.8 |
|     15358 |  213579.1 |
|     15359 |  213594.5 |
|     15360 |  213609.8 |
|     15361 |  213625.2 |
|     15362 |  213640.5 |
|     15363 |  213655.9 |
|     15364 |  213671.2 |
|     15365 |  213686.6 |
|     15366 |  213701.9 |
|     15367 |  213717.3 |
|     15368 |  213732.6 |
|     15369 |  213748.0 |
|     15370 |  213763.3 |
|     15371 |  213778.7 |
|     15372 |  213794.0 |
|     15373 |  213809.4 |
|     15374 |  213824.7 |
|     15375 |  213840.1 |
|     15376 |  213855.4 |
|     15377 |  213870.8 |
|     15378 |  213886.1 |
|     15379 |  213901.5 |
|     15380 |  213916.9 |
|     15381 |  213932.2 |
|     15382 |  213947.6 |
|     15383 |  213962.9 |
|     15384 |  213978.3 |
|     15385 |  213993.6 |
|     15386 |  214009.0 |
|     15387 |  214024.3 |
|     15388 |  214039.7 |
|     15389 |  214055.0 |
|     15390 |  214070.4 |
|     15391 |  214085.7 |
|     15392 |  214101.1 |
|     15393 |  214116.4 |
|     15394 |  214131.8 |
|     15395 |  214147.1 |
|     15396 |  214162.5 |
|     15397 |  214177.8 |
|     15398 |  214193.2 |
|     15399 |  214208.5 |
|     15400 |  214223.9 |
|     15401 |  214239.3 |
|     15402 |  214254.6 |
|     15403 |  214270.0 |
|     15404 |  214285.3 |
|     15405 |  214300.7 |
|     15406 |  214316.0 |
|     15407 |  214331.4 |
|     15408 |  214346.7 |
|     15409 |  214362.1 |
|     15410 |  214377.4 |
|     15411 |  214392.8 |
|     15412 |  214408.1 |
|     15413 |  214423.5 |
|     15414 |  214438.9 |
|     15415 |  214454.2 |
|     15416 |  214469.6 |
|     15417 |  214484.9 |
|     15418 |  214500.3 |
|     15419 |  214515.6 |
|     15420 |  214531.0 |
|     15421 |  214546.3 |
|     15422 |  214561.7 |
|     15423 |  214577.0 |
|     15424 |  214592.4 |
|     15425 |  214607.8 |
|     15426 |  214623.1 |
|     15427 |  214638.5 |
|     15428 |  214653.8 |
|     15429 |  214669.2 |
|     15430 |  214684.5 |
|     15431 |  214699.9 |
|     15432 |  214715.3 |
|     15433 |  214730.6 |
|     15434 |  214746.0 |
|     15435 |  214761.3 |
|     15436 |  214776.7 |
|     15437 |  214792.0 |
|     15438 |  214807.4 |
|     15439 |  214822.7 |
|     15440 |  214838.1 |
|     15441 |  214853.5 |
|     15442 |  214868.8 |
|     15443 |  214884.2 |
|     15444 |  214899.5 |
|     15445 |  214914.9 |
|     15446 |  214930.3 |
|     15447 |  214945.6 |
|     15448 |  214961.0 |
|     15449 |  214976.3 |
|     15450 |  214991.7 |
|     15451 |  215007.0 |
|     15452 |  215022.4 |
|     15453 |  215037.8 |
|     15454 |  215053.1 |
|     15455 |  215068.5 |
|     15456 |  215083.8 |
|     15457 |  215099.2 |
|     15458 |  215114.5 |
|     15459 |  215129.9 |
|     15460 |  215145.3 |
|     15461 |  215160.6 |
|     15462 |  215176.0 |
|     15463 |  215191.3 |
|     15464 |  215206.7 |
|     15465 |  215222.1 |
|     15466 |  215237.4 |
|     15467 |  215252.8 |
|     15468 |  215268.1 |
|     15469 |  215283.5 |
|     15470 |  215298.9 |
|     15471 |  215314.2 |
|     15472 |  215329.6 |
|     15473 |  215344.9 |
|     15474 |  215360.3 |
|     15475 |  215375.7 |
|     15476 |  215391.0 |
|     15477 |  215406.4 |
|     15478 |  215421.7 |
|     15479 |  215437.1 |
|     15480 |  215452.5 |
|     15481 |  215467.8 |
|     15482 |  215483.2 |
|     15483 |  215498.5 |
|     15484 |  215513.9 |
|     15485 |  215529.3 |
|     15486 |  215544.6 |
|     15487 |  215560.0 |
|     15488 |  215575.4 |
|     15489 |  215590.7 |
|     15490 |  215606.1 |
|     15491 |  215621.4 |
|     15492 |  215636.8 |
|     15493 |  215652.2 |
|     15494 |  215667.5 |
|     15495 |  215682.9 |
|     15496 |  215698.2 |
|     15497 |  215713.6 |
|     15498 |  215729.0 |
|     15499 |  215744.3 |
|     15500 |  215759.7 |
|     15501 |  215775.1 |
|     15502 |  215790.4 |
|     15503 |  215805.8 |
|     15504 |  215821.2 |
|     15505 |  215836.5 |
|     15506 |  215851.9 |
|     15507 |  215867.2 |
|     15508 |  215882.6 |
|     15509 |  215898.0 |
|     15510 |  215913.3 |
|     15511 |  215928.7 |
|     15512 |  215944.1 |
|     15513 |  215959.4 |
|     15514 |  215974.8 |
|     15515 |  215990.1 |
|     15516 |  216005.5 |
|     15517 |  216020.9 |
|     15518 |  216036.2 |
|     15519 |  216051.6 |
|     15520 |  216067.0 |
|     15521 |  216082.3 |
|     15522 |  216097.7 |
|     15523 |  216113.1 |
|     15524 |  216128.4 |
|     15525 |  216143.8 |
|     15526 |  216159.2 |
|     15527 |  216174.5 |
|     15528 |  216189.9 |
|     15529 |  216205.3 |
|     15530 |  216220.6 |
|     15531 |  216236.0 |
|     15532 |  216251.4 |
|     15533 |  216266.7 |
|     15534 |  216282.1 |
|     15535 |  216297.4 |
|     15536 |  216312.8 |
|     15537 |  216328.2 |
|     15538 |  216343.5 |
|     15539 |  216358.9 |
|     15540 |  216374.3 |
|     15541 |  216389.6 |
|     15542 |  216405.0 |
|     15543 |  216420.4 |
|     15544 |  216435.7 |
|     15545 |  216451.1 |
|     15546 |  216466.5 |
|     15547 |  216481.8 |
|     15548 |  216497.2 |
|     15549 |  216512.6 |
|     15550 |  216527.9 |
|     15551 |  216543.3 |
|     15552 |  216558.7 |
|     15553 |  216574.1 |
|     15554 |  216589.4 |
|     15555 |  216604.8 |
|     15556 |  216620.2 |
|     15557 |  216635.5 |
|     15558 |  216650.9 |
|     15559 |  216666.3 |
|     15560 |  216681.6 |
|     15561 |  216697.0 |
|     15562 |  216712.4 |
|     15563 |  216727.7 |
|     15564 |  216743.1 |
|     15565 |  216758.5 |
|     15566 |  216773.8 |
|     15567 |  216789.2 |
|     15568 |  216804.6 |
|     15569 |  216819.9 |
|     15570 |  216835.3 |
|     15571 |  216850.7 |
|     15572 |  216866.1 |
|     15573 |  216881.4 |
|     15574 |  216896.8 |
|     15575 |  216912.2 |
|     15576 |  216927.5 |
|     15577 |  216942.9 |
|     15578 |  216958.3 |
|     15579 |  216973.6 |
|     15580 |  216989.0 |
|     15581 |  217004.4 |
|     15582 |  217019.8 |
|     15583 |  217035.1 |
|     15584 |  217050.5 |
|     15585 |  217065.9 |
|     15586 |  217081.2 |
|     15587 |  217096.6 |
|     15588 |  217112.0 |
|     15589 |  217127.3 |
|     15590 |  217142.7 |
|     15591 |  217158.1 |
|     15592 |  217173.5 |
|     15593 |  217188.8 |
|     15594 |  217204.2 |
|     15595 |  217219.6 |
|     15596 |  217234.9 |
|     15597 |  217250.3 |
|     15598 |  217265.7 |
|     15599 |  217281.1 |
|     15600 |  217296.4 |
|     15601 |  217311.8 |
|     15602 |  217327.2 |
|     15603 |  217342.5 |
|     15604 |  217357.9 |
|     15605 |  217373.3 |
|     15606 |  217388.7 |
|     15607 |  217404.0 |
|     15608 |  217419.4 |
|     15609 |  217434.8 |
|     15610 |  217450.2 |
|     15611 |  217465.5 |
|     15612 |  217480.9 |
