---------------------------
|         n |  n log_2(n) |
|       255 |    2038.6 |
|       256 |    2048.0 |
|       257 |    2057.4 |
|       258 |    2066.9 |
|       259 |    2076.4 |
|       260 |    2085.8 |
|       261 |    2095.3 |
|       262 |    2104.8 |
|       263 |    2114.2 |
|       264 |    2123.7 |
|       265 |    2133.2 |
|       266 |    2142.7 |
|       267 |    2152.2 |
|       268 |    2161.7 |
|       269 |    2171.2 |
|       270 |    2180.7 |
|       271 |    2190.3 |
|       272 |    2199.8 |
|       273 |    2209.3 |
|       274 |    2218.9 |
|       275 |    2228.4 |
|       276 |    2238.0 |
|       277 |    2247.5 |
|       278 |    2257.1 |
|       279 |    2266.6 |
|       280 |    2276.2 |
|       281 |    2285.8 |
|       282 |    2295.4 |
|       283 |    2304.9 |
|       284 |    2314.5 |
|       285 |    2324.1 |
|       286 |    2333.7 |
|       287 |    2343.3 |
|       288 |    2352.9 |
|       289 |    2362.6 |
|       290 |    2372.2 |
|       291 |    2381.8 |
|       292 |    2391.4 |
|       293 |    2401.1 |
|       294 |    2410.7 |
|       295 |    2420.3 |
|       296 |    2430.0 |
|       297 |    2439.7 |
|       298 |    2449.3 |
|       299 |    2459.0 |
|       300 |    2468.6 |
|       301 |    2478.3 |
|       302 |    2488.0 |
|       303 |    2497.7 |
|       304 |    2507.4 |
|       305 |    2517.1 |
|       306 |    2526.8 |
|       307 |    2536.5 |
|       308 |    2546.2 |
|       309 |    2555.9 |
|       310 |    2565.6 |
|       311 |    2575.3 |
|       312 |    2585.0 |
|       313 |    2594.8 |
|       314 |    2604.5 |
|       315 |    2614.3 |
|       316 |    2624.0 |
|       317 |    2633.7 |
|       318 |    2643.5 |
|       319 |    2653.3 |
|       320 |    2663.0 |
|       321 |    2672.8 |
|       322 |    2682.6 |
|       323 |    2692.3 |
|       324 |    2702.1 |
|       325 |    2711.9 |
|       326 |    2721.7 |
|       327 |    2731.5 |
|       328 |    2741.3 |
|       329 |    2751.1 |
|       330 |    2760.9 |
|       331 |    2770.7 |
|       332 |    2780.5 |
|       333 |    2790.3 |
|       334 |    2800.2 |
|       335 |    2810.0 |
|       336 |    2819.8 |
|       337 |    2829.7 |
|       338 |    2839.5 |
|       339 |    2849.3 |
|       340 |    2859.2 |
|       341 |    2869.0 |
|       342 |    2878.9 |
|       343 |    2888.8 |
|       344 |    2898.6 |
|       345 |    2908.5 |
|       346 |    2918.4 |
|       347 |    2928.3 |
|       348 |    2938.1 |
|       349 |    2948.0 |
|       350 |    2957.9 |
|       351 |    2967.8 |
|       352 |    2977.7 |
|       353 |    2987.6 |
|       354 |    2997.5 |
|       355 |    3007.4 |
|       356 |    3017.4 |
|       357 |    3027.3 |
|       358 |    3037.2 |
|       359 |    3047.1 |
|       360 |    3057.1 |
|       361 |    3067.0 |
|       362 |    3076.9 |
|       363 |    3086.9 |
|       364 |    3096.8 |
|       365 |    3106.8 |
|       366 |    3116.7 |
|       367 |    3126.7 |
|       368 |    3136.7 |
|       369 |    3146.6 |
|       370 |    3156.6 |
|       371 |    3166.6 |
|       372 |    3176.6 |
|       373 |    3186.6 |
|       374 |    3196.5 |
|       375 |    3206.5 |
|       376 |    3216.5 |
|       377 |    3226.5 |
|       378 |    3236.5 |
|       379 |    3246.5 |
|       380 |    3256.5 |
|       381 |    3266.6 |
|       382 |    3276.6 |
|       383 |    3286.6 |
|       384 |    3296.6 |
|       385 |    3306.7 |
|       386 |    3316.7 |
|       387 |    3326.7 |
|       388 |    3336.8 |
|       389 |    3346.8 |
|       390 |    3356.9 |
|       391 |    3366.9 |
|       392 |    3377.0 |
|       393 |    3387.0 |
|       394 |    3397.1 |
|       395 |    3407.2 |
|       396 |    3417.2 |
|       397 |    3427.3 |
|       398 |    3437.4 |
|       399 |    3447.5 |
|       400 |    3457.5 |
|       401 |    3467.6 |
|       402 |    3477.7 |
|       403 |    3487.8 |
|       404 |    3497.9 |
|       405 |    3508.0 |
|       406 |    3518.1 |
|       407 |    3528.2 |
|       408 |    3538.3 |
|       409 |    3548.5 |
|       410 |    3558.6 |
|       411 |    3568.7 |
|       412 |    3578.8 |
|       413 |    3589.0 |
|       414 |    3599.1 |
|       415 |    3609.2 |
